Chanel Australia
red
assess,Australian Packaging Covenant signatory,Environment: lesser praise ,"Signatory to the Australian Packaging Covenant, a voluntary agreement to encourage waste minimisation.
[Source 2017][More on Packaging]"
assess,Child labour scorecard,Social: lesser praise ,"This website by German NGO Earth Link rates companies on their corporate policies against child labour, production monitoring and accusations of child labour. This company received at least one green mark, and no red marks, indicating good performance in one or more of these areas.
[Source 2013][More on Human Rights]"
assess,Supply chain practices in China,Environment: Criticism,"This company received a score of 0/100 (retrieved 14-Feb-2018) in the Corporate Information Transparency Index (CITI), a system for evaluating supply chain practices in China, particularly in regards to environmental management and water pollution. Scores are calculated using government compliance data, online monitoring data, and third-party environmental audits, as well as trends in the environmental performance of factories in the company's supply chains.
[Source 2018][More on Habitats]"
assess,10/100 in Fashion Transparency Index,Business Ethics: Criticism,"The 2016 Fashion Transparency Index looks at how much brands know about their supply chains, what kind of policies they have in place and importantly, how much information they share with the public about their practices and products. This company scored 10%, signifying it has little to no information about their supply chain practices available to the public.
[Source 2016][More on Sustainability Reporting]"
assess,'E' rating at rankabrand.org,Business Ethics: Criticism,"Rank a Brand searches the websites of brands for the answers to carefully targeted questions. From this they calculate sustainability scores based on the themes of environment, climate, labor issues, and transparency. Brands owned by this company received an 'E', the lowest possible score.
[Source 2017][More on Sustainability Reporting]"
assess,Workers rights in China,Social: lesser criticism,"A 2014 report by China Labour Watch found poor working conditions in a Chinese factory that mainly manufactures cosmetic brushes for multinational beauty companies, including this one. Labor abuses include excessive overtime and poor worker safety measures. Also, the factory has not purchased social insurance for workers as required by law. Hundreds of workers went on strike in Jan 2014 after a female team leader was slapped by a male manager. 
[Source 2015][More on Workers Rights]"
assess,Nanoparticles in cosmetics,Social: lesser criticism,"This company uses nanoscale materials in some of its personal care products.
[Source 2011][More on Product Safety]"
assess,Use of fur,Animals: lesser criticism,"This company has used fur in factory made clothing lines, and has not announced plans to stop.
[Source 2016][More on Animal Rights]"
assess,Price fixing in France,Business Ethics: lesser criticism,"In Jan 2012 a Paris appeals court upheld a 40 million euro fine imposed in 2006 by the French competition watchdog, which said the companies involved had reached illicit agreements on price fixing, enforced by procedures to monitor prices in outlets and backed up by commercial threats for non-compliance. Thirteen leading perfume and luxury goods companies were fined.
[Source 2012][More on Governance]"
assess,Owners take $3.4bn dividend,Business Ethics: minor criticism,"In 2016 the reclusive billionaire brothers who own Chanel paid themselves a $3.4bn dividend, four times the company's net profit and double the dividend they received in 2015.
[Source 2017][More on Finance]"
assess,Responsible Mica Initiative member,Business Ethics: minor praise,"This company is a member of the Responsible Mica Initiative, a Do-Tank which aims to eradicate child labour and unacceptable working conditions in the Indian mica supply chain by joining forces across industries.
[Source 2017][More on Multi-Stakeholder Initiatives]"
assess,Microbeads scorecard,Environment: information,"In 2016 Greenpeace East Asia ranked the world's 30 biggest personal care companies on their commitment to eliminating microbeads from their personal care products.  The scorecard was based on four main criteria: commitment & transparency, definition, deadline and global application. This company was ranked as 'getting there'. Microbeads are not retained by wastewater treatment and end up in the ocean where they are a threat to the marine environment.
[Source 2016][More on Oceans]"
assess,SB 657 disclosure statement,Social: information,"The California Transparency in Supply Chains Act of 2010 (SB 657) requires companies operating in California to disclose their efforts to eradicate slavery and human trafficking from their direct supply chains. Follow the link to see this company's disclosure statement. (Look at last item of FAQ page)
[Source 2016][More on Workers Rights]"
assess,Skin Deep hazard score (2-4),Social: information,"Skin Deep is an online safety guide to cosmetics and personal care products and their potential hazards and health concerns, with over 69,000 products rated from 1 (low hazard) to 10 (high hazard).
[Source 2016][More on Product Safety]"
assess,Project JUST profile,Information,"Project JUST examines the manufacturing practices and ethics of fashion brands. Follow the link to see this company's profile.
[Source 2016]"
product,Chanel,Cosmetics
product,Chanel,Luxury Brands
