Myer
yellow
assess,Packaging Award 2015,Environment: lesser praise ,"This company won an award in 2015 from the Australian Packaging Covenant, for demonstrating their commitment to environmental sustainability by performing 'above and beyond' in their efforts to minimise waste. This company achieved the highest overall score in their category, retailers.
[Source 2015][More on Packaging]"
assess,Australian Packaging Covenant signatory,Environment: lesser praise ,"Signatory to the Australian Packaging Covenant, a voluntary agreement to encourage waste minimisation.
[Source 2017][More on Packaging]"
assess,Ethical Fashion Initiative partner,Social: lesser praise ,"This company is collaborating with the Ethical Fashion Initiative, a United Nations initiative which connects the fashion business with artisans in Africa and Haiti. It provides work for marginalized women who have a strong desire to change their lives. The project provides employment, fair wages and training.
[Source 2012][More on Workers Rights]"
assess,Uzbek cotton commitment,Social: lesser praise ,"This company has taken steps to exclude Uzbekistan cotton from their supply chains until the government of Uzbekistan ends the use of forced child labour in the harvesting of the cotton.
[Source 2013][More on Human Rights]"
assess,Efforts to pay a living wage,Social: Criticism,"Oxfam Australia's Company Tracker compares the big clothing brands on their efforts to pay a living wage to the women working in their factories. This company has not published a list of its supplier factories, has not made a public commitment to paying living wages, and does not have a satisfactory grievance mechanism in place for workers to report violations of their rights.
[Source 2017][More on Workers Rights]"
assess,Supply chain sourcing,Social: minor criticism,"This 2013 report by The Australian Council of Superannuation Investors (ACSI) investigates the labour and human rights risks in supply chain sourcing. This company is identified on page 21 as a company which sources products from countries with known systemic labour and human rights concerns.
[Source 2013][More on Human Rights]"
assess,No Human rights policy,Social: minor criticism,"Myer is mentioned in the 'Workplace human rights Reporting: A study of Australian garment and retail companies' paper as having no policies or inadequate policies regarding human rights areas such as 'forced or compulsory labour', 'freedom of association', and 'child labor'. Information gathered was from annual reports, CSR reports, and the corporate website, for the 2009/2010 year. 
[Source 2012][More on Human Rights]"
assess,Poor treatment of model competition winners,Social: minor criticism,"In 2011 Myer ran a modelling competition aimed at ""real"" women who wear dress sizes of 14 and above to promote the relaunch of its plus-size range Big is Beautiful. Myer didn't cover any travel, food or accommodation costs for the model competition entrants - many who travelled interstate. Many entrants complained of poor treatment. Finalists received a Myer gift pack worth $25 in return for spruiking the store.
[Source 2011][More on Human Rights]"
assess,Policies on Fair wage and decent living,Social: minor praise,"Myer is mentioned in the 'Workplace human rights Reporting: a study of Australian garment and retail companies' paper as having policies on 'Fair wage and decent living' - stating that they were paying their employees in accordance with local and national wage awards and statutes. Information gathered was from annual reports, CSR reports, and the corporate website, for the 2009/2010 year. Policy in there areas are particularly important in the clothing and electronics industries (though policy does not imply compliance).
[Source 2012][More on Human Rights]"
assess,Policies on Right to safe and healthy working conditions,Social: minor praise,"Myer is mentioned in the 'Workplace human rights Reporting: a study of Australian garment and retail companies' paper as having disclosed that they have worker safety policies. Information gathered was from annual reports, CSR reports, and the corporate website, for the 2009/2010 year. Policy in there areas are particularly important in the clothing and electronics industries (though policy does not imply compliance).
[Source 2012][More on Human Rights]"
assess,Fur free,Animals: minor praise,"This company has formally undertaken not to use or sell real fur.
[Source 2014][More on Animal Rights]"
assess,Angora ban,Animals: minor praise,"This company has taken angora items off the shelves and promised not to use angora again, following a PETA campaign launched in Dec 2013 which revealed the cruelty inflicted on angora rabbits in Chinese factory farms, where 90% of the world's angora is produced.
[Source 2014][More on Animal Rights]"
assess,Code of conduct,Business Ethics: minor praise,"Myer has several corporate governance documents publicly available on its website, including their Ethical Sourcing Policy and Code of Conduct.
[Source 2011][More on Sustainability Reporting]"
assess,C+ grade at Behind the Barcode,Social: information,"C+ grade in the Baptist World Aid Australia's 'Ethical Fashion Report 2017', which grades companies, from A to F, on the strength of their systems to mitigate against the risks of forced labour, child labour, and exploitation in their supply chains. Assessment criteria fall into four main categories: policies, knowing suppliers, auditing and supplier relationships, and worker empowerment.
[Source 2017][More on Workers Rights]"
assess,Recognition of  ICTI CARE Process,Social: information,"This company recognises and supports the ICTI CARE Process, the toy industry's ethical manufacturing program aimed at ensuring safe and humane workplace environments for toy factory workers worldwide. However human rights groups including SOMO and China Labor Watch have criticised ICTI Care, with investigators finding serious labour rights violations occurring in ICTI-certified factories.
[Source 2018][More on Workers Rights]"
assess,Dog fur pulled from shelves,Animals: information,"According to investigations by Humane Society International in 2011, fur vests sold by Myer were found to contain dog fur from China. The label stated that the vests are 100% rabbit fur. Importation of dog or cat fur is illegal in Australia. Myer were quick to pull the vest from its stores.
[Source 2011][More on Animal Rights]"
product,Babyworld,Babywear
product,Basque,Womens Fashion
product,Bauhaus,Youth Fashion
product,Bauhaus,Childrenswear
product,Bauhaus,Menswear (casual)
product,BIB,Womens Fashion
product,Blaq,Menswear (casual)
product,Brooklyn Industries,Childrenswear
product,Charlie Brown,Womens Fashion
product,Chloe & Lola,Intimate Apparel
product,Collection,Womens Fashion
product,David Lawrence,Womens Fashion
product,Design Studio,Womens Fashion
product,Grab,Womens Fashion
product,Howard Showers,Womens Fashion
product,Innovare Made in Italy,Womens Shoes
product,Jack & Milly,Childrenswear
product,Jack Stone,Menswear (casual)
product,Jeff Banks,Menswear (formal)
product,Kenji,Menswear (casual)
product,Kenji,Menswear (formal)
product,La De Da,Youth Fashion
product,Lost Highway,Youth Fashion
product,Maddox,Menswear (casual)
product,Marcs,Womens Fashion
product,Marcs,Menswear (casual)
product,Milk & Honey,Youth Fashion
product,Milkshake,Childrenswear
product,Mink Denim,Womens Fashion
product,Miss Shop,Youth Fashion
product,Myer,Department Stores
product,Myer,Clothing Stores
product,Myer,Toy Stores
product,Origami,Babywear
product,Piper,Womens Fashion
product,Regatta,Womens Fashion
product,Reserve,Menswear (casual)
product,sass & bide,Womens Fashion
product,sass & bide Intimates,Intimate Apparel
product,Soft Soul,Womens Shoes
product,Soho,Intimate Apparel
product,Sprout,Babywear
product,Surf Rider,Swimwear
